"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","regulation"
"APOL4",393.891834770547,-1.10117909888861,0.251138916703678,2.3320071789269e-06,2.72260232074165e-05,"Down"
"FGFBP2",36.4531157440264,-2.35408684526806,0.57107906919751,2.33746841591969e-06,2.72335151798423e-05,"Down"
"BEAN1",132.495727293619,-1.17164966022073,0.268764308345094,2.33717290958473e-06,2.72335151798423e-05,"Down"
"BX088651.1",82.7490605942514,-1.69425271971945,0.401150389582289,2.33458670921714e-06,2.72335151798423e-05,"Down"
"TMEM232",41.4367570543199,-1.85532624365449,0.442144417429274,2.34810303760324e-06,2.73198645802677e-05,"Down"
"HAS2",30.5032992149383,-1.61017432270881,0.380078247810937,2.36143699370797e-06,2.74561590653893e-05,"Down"
"APBB1",309.683914071892,-1.03004935229162,0.23488378087142,2.39344474447302e-06,2.78092359892438e-05,"Down"
"RFESD",39.1643748171609,-2.27527948774044,0.551232436290407,2.40511744497959e-06,2.7925719813215e-05,"Down"
"RAD54L",143.767746114357,1.2971742413347,0.300806478907509,2.43513635031775e-06,2.82549154076567e-05,"Up"
"DAAM2",300.590556004871,-1.32450515642575,0.30792935345102,2.44081134527671e-06,2.830139119366e-05,"Down"
"ATAD2",188.970324410889,1.11910825727499,0.255938294051743,2.45706229637649e-06,2.84509016722501e-05,"Up"
"ARID5B",460.684065967495,-1.25137403948484,0.289593471940801,2.46034577367457e-06,2.846947546439e-05,"Down"
"POU2F3",157.857127404461,-1.6147394734348,0.38223687674818,2.47894661892563e-06,2.86651453506325e-05,"Down"
"ORC1",31.3955567667929,1.46001354680555,0.342060006447667,2.48567135298359e-06,2.87233134122548e-05,"Up"
"JMJD4",422.8735847132,1.23293682641737,0.284924853013823,2.50323755707442e-06,2.89065960950447e-05,"Up"
"SCEL",63.4566282986694,-3.820146269444,0.955753319674327,2.50783649764907e-06,2.89399893180034e-05,"Down"
"OPN3",216.522123362006,1.16629295988692,0.268484462396321,2.50975823709795e-06,2.89424636974724e-05,"Up"
"LRRIQ1",38.9878107001092,-1.9482881945213,0.468396276627626,2.5436994288418e-06,2.92940167919335e-05,"Down"
"SPINT2",3232.33162046521,1.31966271434099,0.307139344432896,2.57221541200992e-06,2.96023052711419e-05,"Up"
"UPP2",13.8913114610189,-1.96230686921473,0.472480796350736,2.60332260267636e-06,2.9919677803776e-05,"Down"
"NPR1",128.753962980861,-1.3466848820359,0.314626287751004,2.60297880608463e-06,2.9919677803776e-05,"Down"
"TYMP",2486.55756566519,1.42472876222687,0.333236910118475,2.62601090324115e-06,3.01599843033495e-05,"Up"
"LILRA5",83.0250294518269,-2.06906519532563,0.500972624405396,2.64396985163059e-06,3.03251535350756e-05,"Down"
"RP11-385D13.1",18.7016130694646,-1.75809818110784,0.420254998729867,2.65283539778101e-06,3.04062648162162e-05,"Down"
"NPC1",2435.92009059606,-1.10550815109599,0.256464786662994,2.66705579097447e-06,3.05486011949995e-05,"Down"
"PKMYT1",491.862169941247,1.50866369636908,0.356339520348171,2.7342993924211e-06,3.12558298098935e-05,"Up"
"C16orf89",95.2973001110006,-1.62709199968188,0.387448374177069,2.73914777787716e-06,3.12687091788374e-05,"Down"
"GOLGA8J",132.373616291558,-1.46131057047107,0.344741337162668,2.73846297915561e-06,3.12687091788374e-05,"Down"
"RAD51",69.5680756624758,1.52778221368688,0.361621651279786,2.76935909017959e-06,3.15923117743771e-05,"Up"
"TACC3",381.363309276779,1.26219942489767,0.294026238384829,2.77429954991382e-06,3.16273880095085e-05,"Up"
"HDAC2",596.931709533106,1.01662775040137,0.232302553459518,2.80324637574857e-06,3.19144610891133e-05,"Up"
"ALG3",670.228849363282,1.26985201140033,0.295312884661348,2.85428301689186e-06,3.24736951022488e-05,"Up"
"CEP55",51.4098402979171,1.47875523919481,0.34969778496746,2.86464885911093e-06,3.25697702613337e-05,"Up"
"AMY2B",212.297730770995,-1.16823781710584,0.271461798423951,2.88674645769e-06,3.27990120313411e-05,"Down"
"CACNA1H",123.699049192433,-1.17020393185669,0.271387926157697,2.8980855216917e-06,3.29057908665223e-05,"Down"
"EIF4EBP1",474.444509517969,1.5946371869195,0.379862115181701,2.90233341110535e-06,3.29319651841083e-05,"Up"
"KIAA2022",14.2509080890813,-1.90724655535023,0.46097376976385,2.95423031304756e-06,3.34984028540349e-05,"Down"
"FSCN3",34.2462460251333,-1.94004606014514,0.470332493617499,2.98666725387633e-06,3.38435717163847e-05,"Down"
"RP11-195B21.3",29.802609866332,-3.06304750346172,0.765103999242933,3.02976826142278e-06,3.43090391233394e-05,"Down"
"HCAR2",56.3646321712034,-1.74591581161638,0.420999841480182,3.03751150998093e-06,3.43737617604784e-05,"Down"
"PRDM7",174.195610504338,-1.46660782264119,0.348183367878694,3.05037095207694e-06,3.44962564240215e-05,"Down"
"PSG3",40.6265851353646,-2.34804781072473,0.578028747278506,3.05449625710549e-06,3.45198803669681e-05,"Down"
"CR769776.1",65.8723985159998,-1.74320471327382,0.420068215962645,3.06312341901148e-06,3.4594315922107e-05,"Down"
